techtree_accept | Begin Research | Начать Исследование
techtree_node_title_robotarmspeedrepeatable | Robot Arm Speed | Скорость Руки Робота
techtree_node_title_science | Science | Наука
techtree_node_title_sectorsurvey | Sector Surveying | Исследование Сектора
techtree_node_title_smartautomation | Smart Robot Arms | Умные Руки Робота
techtree_node_title_stargatepart1 | Andromeda Project Part 1 | Проект Андромеда Часть 1
techtree_node_title_stargatepart2 | Andromeda Project Part 2 | Проект Андромеда Часть 2
techtree_node_title_stargatepart3 | Andromeda Project Part 3 | Проект Андромеда Часть 3
techtree_node_title_tiddletcrystals | Synthetic Crystals | Синтетические Кристаллы
techtree_node_title_trackspeed1 | Track Speed 1 | Скорость Конвейера 1
techtree_node_title_trackspeed2 | Track Speed 2 | Скорость Конвейера 2
techtree_node_title_zeleonenergycontainment | Zeleon Energy Containment | Хранение Энергии Зелеона
techtree_node_title_zeleongasrefining | Zeleon Gas | Газ Зелеона
techtree_refining | Refining | Переработка
techtree_researchcredit_tooltip | Perform sector scans to find derelict ships that contain research credits. | Проводите сканирования сектора, чтобы найти заброшенные корабли, содержащие чипы данных.
techtree_researched | RESEARCHED | ИССЛЕДОВАНО
techtree_researchpercent | *X% Complete | *X% Завершено
techtree_researchpoints | Research Points: | Очки Исследований:
techtree_rewards | Rewards: | Награды:
techtree_smelting | Smelting | Плавка
techtree_spendcredits | Accelerate Research (Cost: 1 Credit ) | Ускорить Исследование (Стоимость: 1 Чип)
techtree_stargate_warning | Completing Andromeda Project phases ahead of the Deep Space Industrialists storyline will bypass those episodes. | Завершение фаз Проекта Андромеда до сюжетной линии Промышленников Дальнего Космоса позволит пропустить эти эпизоды.
techtree_title | RESEARCH | ИССЛЕДОВАНИЯ
techtree_unavailable | REQUIREMENTS NOT MET | ТРЕБОВАНИЯ НЕ ВЫПОЛНЕНЫ
techtree_unlocks | Unlocks: | Открывает:
techtree_warning | WARNING! | ВНИМАНИЕ!
